ours: NUMBER hej joel | random: hej NUMBER joel
1.00 | 0.33
ours: bara en friades | random: bara en friades
1.00 | 1.00
ours: bara ett nummer | random: nummer bara ett
1.00 | 0.33
ours: barn och ungdomar | random: och ungdomar barn
1.00 | 0.33
ours: be om receptet | random: be receptet om
1.00 | 0.00
ours: befaller hon tor | random: befaller tor hon
1.00 | 0.00
ours: begriper du det | random: du begriper det
1.00 | 0.00
ours: bekymra dej inte | random: dej bekymra inte
1.00 | 0.00
ours: bell viskade han | random: bell viskade han
1.00 | 1.00
ours: bergen var enorma | random: bergen var enorma
1.00 | 1.00
ours: besvikelsen var stor | random: besvikelsen stor var
1.00 | 0.00
ours: bingo trippar snabbt | random: bingo snabbt trippar
1.00 | 0.00
ours: bjerkeli kom trea | random: kom bjerkeli trea
1.00 | 0.00
ours: bjud hem honom | random: bjud hem honom
1.00 | 1.00
ours: bla bla bla | random: bla bla bla
1.00 | 1.00
ours: blev han sur | random: han blev sur
1.00 | 0.00
ours: blinkar och blinkar | random: blinkar blinkar och
1.00 | 0.33
ours: bollen ska tillbaka | random: tillbaka bollen ska
1.00 | 0.33
ours: bort bort bort | random: bort bort bort
1.00 | 1.00
ours: bort med dig | random: med bort dig
1.00 | 0.00
ours: borta vid havsudden | random: vid havsudden borta
1.00 | 0.33
ours: bra sa berit | random: berit sa bra
1.00 | 0.00
ours: bra sa farfar | random: farfar sa bra
1.00 | 0.00
ours: bra sa han | random: han sa bra
1.00 | 0.00
ours: bra sa mirran | random: bra mirran sa
1.00 | 0.00
ours: bra sa morfar | random: morfar sa bra
1.00 | 0.00
ours: bra svarar jag | random: jag svarar bra
1.00 | 0.00
ours: bussen var full | random: var full bussen
1.00 | 0.33
ours: bygglov eller inte | random: inte bygglov eller
1.00 | 0.33
ours: chuck och tekla | random: och tekla chuck
1.00 | 0.33
ours: dagen var varm | random: varm dagen var
1.00 | 0.33
ours: dansar ni aldrig | random: aldrig ni dansar
1.00 | 0.00
ours: de adopterar barnet | random: barnet adopterar de
1.00 | 0.00
ours: de andra flinade | random: andra flinade de
1.00 | 0.33
ours: de andra nickade | random: de andra nickade
1.00 | 1.00
ours: de andra stelnade | random: andra de stelnade
1.00 | 0.00
ours: de firade segern | random: de firade segern
1.00 | 1.00
ours: de gick fram | random: gick fram de
1.00 | 0.33
ours: de glimmar kyligt | random: de glimmar kyligt
1.00 | 1.00
ours: de hade fel | random: de hade fel
1.00 | 1.00
ours: de hade vunnit | random: hade vunnit de
1.00 | 0.33
ours: de kallades atp | random: kallades de atp
1.00 | 0.00
ours: de kallades brobyggarna | random: kallades brobyggarna de
1.00 | 0.33
ours: de kallas arbetslivsmuseer | random: arbetslivsmuseer de kallas
1.00 | 0.33
ours: de ligger sist | random: de ligger sist
1.00 | 1.00
ours: de pratar tyst | random: tyst pratar de
1.00 | 0.00
ours: de ska samarbeta | random: de samarbeta ska
1.00 | 0.00
ours: de utbytte blickar | random: utbytte de blickar
1.00 | 0.00
ours: de var apatiska | random: apatiska de var
1.00 | 0.33
ours: de var dammiga | random: dammiga var de
1.00 | 0.00
ours: de verkade blyga | random: de blyga verkade
1.00 | 0.33
ours: demokrati betyder folkstyre | random: folkstyre betyder demokrati
1.00 | 0.00
ours: den fick pris | random: den fick pris
1.00 | 1.00
ours: den heter djurskyddsmyndigheten | random: den heter djurskyddsmyndigheten
1.00 | 1.00
ours: den heter krav | random: den heter krav
1.00 | 1.00
ours: den hette pretto | random: hette den pretto
1.00 | 0.00
ours: den luktar tessa | random: tessa luktar den
1.00 | 0.00
ours: den sitter fast | random: fast den sitter
1.00 | 0.33
ours: den smakade ljuvligt | random: smakade den ljuvligt
1.00 | 0.00
ours: den var med | random: den med var
1.00 | 0.00
ours: den var tokgod | random: den tokgod var
1.00 | 0.00
ours: departementen styr myndigheterna | random: styr departementen myndigheterna
1.00 | 0.00
ours: det avgjorde matchen | random: matchen det avgjorde
1.00 | 0.33
ours: det avgjorde saken | random: avgjorde det saken
1.00 | 0.00
ours: det betydde ja | random: ja det betydde
1.00 | 0.33
ours: det betydde victory | random: victory det betydde
1.00 | 0.33
ours: det betyder ju | random: ju det betyder
1.00 | 0.33
ours: det blev krig | random: blev det krig
1.00 | 0.00
ours: det blir skitkul | random: det blir skitkul
1.00 | 1.00
ours: det blixtrar igen | random: det igen blixtrar
1.00 | 0.00
ours: det doftar sommar | random: doftar det sommar
1.00 | 0.00
ours: jag fattar det | random: fattar jag det
0.00 | 0.33
ours: det finns kritiker | random: finns det kritiker
1.00 | 0.00
ours: det fixar sej | random: sej fixar det
1.00 | 0.00
ours: det funkar inte | random: inte det funkar
1.00 | 0.33
ours: det gick inte | random: inte gick det
1.00 | 0.00
ours: det gjorde det | random: det gjorde det
1.00 | 1.00
ours: det gjorde dom | random: det dom gjorde
1.00 | 0.00
ours: det gjorde ingenting | random: det ingenting gjorde
1.00 | 0.00
ours: det gjorde jag | random: jag gjorde det
1.00 | 0.00
ours: det gjorde ont | random: gjorde ont det
1.00 | 0.33
ours: det gjorde susen | random: susen gjorde det
1.00 | 0.00
ours: det gjorde vi | random: det vi gjorde
1.00 | 0.00
ours: det hade det | random: hade det det
1.00 | 0.33
ours: det hade jag | random: det hade jag
1.00 | 1.00
ours: det heter kunskapsporten | random: heter det kunskapsporten
1.00 | 0.00
ours: det irriterar mig | random: mig det irriterar
1.00 | 0.33
ours: det kallas bristyrkesutbildning | random: bristyrkesutbildning kallas det
1.00 | 0.00
ours: det kallas cellfusion | random: kallas cellfusion det
1.00 | 0.33
ours: det kallas ekologiskt | random: kallas ekologiskt det
1.00 | 0.33
ours: det kallas familjehem | random: kallas familjehem det
1.00 | 0.33
ours: det kallas inkasso | random: det inkasso kallas
1.00 | 0.00
ours: det kallas kartellsamarbete | random: kallas kartellsamarbete det
1.00 | 0.33
ours: det kallas massflykt | random: kallas det massflykt
1.00 | 0.00
ours: det kallas merkostnader | random: det kallas merkostnader
1.00 | 1.00
ours: det kallas narkotikahandel | random: kallas det narkotikahandel
1.00 | 0.00
ours: det kallas partnerskap | random: partnerskap det kallas
1.00 | 0.33
ours: det kallas protokoll | random: kallas protokoll det
1.00 | 0.33
ours: det kallas sponsring | random: det sponsring kallas
1.00 | 0.00
ours: det kallas typsnitt | random: kallas typsnitt det
1.00 | 0.33
ours: det kan vi | random: kan vi det
1.00 | 0.33
ours: det kommer mer | random: det mer kommer
1.00 | 0.00
ours: det kunde ingen | random: det kunde ingen
1.00 | 1.00
ours: det lovar jag | random: det lovar jag
1.00 | 1.00
ours: det lovar regeringen | random: lovar det regeringen
1.00 | 0.00
ours: det luktar liljekonvaljparfym | random: liljekonvaljparfym det luktar
1.00 | 0.33
ours: det lyckades inte | random: det lyckades inte
1.00 | 1.00
ours: det ordnar sig | random: sig det ordnar
1.00 | 0.33
ours: det regnar ju | random: ju det regnar
1.00 | 0.33
ours: det ropar han | random: ropar han det
1.00 | 0.33
ours: det slutar regna | random: slutar regna det
1.00 | 0.33
ours: det steg fortfarande | random: fortfarande det steg
1.00 | 0.33
ours: det tycker experterna | random: det experterna tycker
1.00 | 0.00
ours: det tycker regeingen | random: tycker det regeingen
1.00 | 0.00
ours: det var NUMBER | random: det var NUMBER
1.00 | 1.00
ours: det var allt | random: det var allt
1.00 | 1.00
ours: det var anne | random: var det anne
1.00 | 0.00
ours: det var badbyxorna | random: det var badbyxorna
1.00 | 1.00
ours: det var conny | random: var conny det
1.00 | 0.33
ours: det var danskan | random: det var danskan
1.00 | 1.00
ours: det var de | random: de det var
1.00 | 0.33
ours: det var dom | random: dom det var
1.00 | 0.33
ours: det var erik | random: det var erik
1.00 | 1.00
ours: det var finrummet | random: det finrummet var
1.00 | 0.00
ours: det var hemskt | random: hemskt det var
1.00 | 0.33
ours: det var ingenting | random: ingenting var det
1.00 | 0.00
ours: det var jakes | random: var jakes det
1.00 | 0.33
ours: det var jobbigt | random: jobbigt det var
1.00 | 0.33
ours: det var katastrof | random: var det katastrof
1.00 | 0.00
ours: det var konstigt | random: konstigt var det
1.00 | 0.00
ours: det var korkat | random: det var korkat
1.00 | 1.00
ours: det var manuel | random: manuel det var
1.00 | 0.33
ours: det var maria | random: maria var det
1.00 | 0.00
ours: det var moa | random: det moa var
1.00 | 0.00
ours: det var molnigt | random: var molnigt det
1.00 | 0.33
ours: det var ovanligt | random: det ovanligt var
1.00 | 0.00
ours: det var ricke | random: var ricke det
1.00 | 0.33
ours: det var riskabelt | random: riskabelt det var
1.00 | 0.33
ours: det var sanning | random: sanning det var
1.00 | 0.33
ours: det var sant | random: sant var det
1.00 | 0.00
ours: det var sara | random: sara det var
1.00 | 0.33
ours: det var skitjobbigt | random: det skitjobbigt var
1.00 | 0.00
ours: det var slut | random: det slut var
1.00 | 0.00
ours: det var sommarlov | random: det var sommarlov
1.00 | 1.00
ours: det var synd | random: synd det var
1.00 | 0.33
ours: det var taskigt | random: var det taskigt
1.00 | 0.00
ours: det var underbart | random: underbart det var
1.00 | 0.33
ours: det var verklighet | random: det verklighet var
1.00 | 0.00
ours: det verkar enkelt | random: det enkelt verkar
1.00 | 0.00
ours: det verkar smittsamt | random: det verkar smittsamt
1.00 | 1.00
ours: det vet alla | random: alla det vet
1.00 | 0.33
ours: det vet inez | random: inez det vet
1.00 | 0.33
ours: det vet ingen | random: ingen vet det
1.00 | 0.00
ours: jag vet det | random: jag det vet
0.00 | 0.33
ours: det vill de | random: det de vill
1.00 | 0.00
ours: det vill inez | random: inez det vill
1.00 | 0.33
ours: jag visste det | random: visste det jag
0.00 | 0.00
ours: det visste mormor | random: det visste mormor
1.00 | 1.00
ours: det vore fint | random: det fint vore
1.00 | 0.00
ours: det vore kul | random: vore det kul
1.00 | 0.00
ours: det vore skoj | random: det vore skoj
1.00 | 1.00
ours: detsamma sa han | random: han detsamma sa
1.00 | 0.33
ours: detta gav mersmak | random: gav mersmak detta
1.00 | 0.33
ours: detta kallas placeboeffekten | random: placeboeffekten kallas detta
1.00 | 0.00
ours: dikten finns kvar | random: kvar finns dikten
1.00 | 0.00
ours: dina gamla leksaker | random: dina leksaker gamla
1.00 | 0.00
ours: ditt stora intresse | random: stora ditt intresse
1.00 | 0.00
ours: ditte kysste honom | random: kysste ditte honom
1.00 | 0.00
ours: ditte och jag | random: ditte jag och
1.00 | 0.00
ours: ditte och sepp | random: ditte och sepp
1.00 | 1.00
ours: ditte sa ingenting | random: ditte sa ingenting
1.00 | 1.00
ours: ditte var tillbaka | random: var ditte tillbaka
1.00 | 0.00
ours: ditte viskade felix | random: ditte viskade felix
1.00 | 1.00
ours: dom blir godast | random: dom godast blir
1.00 | 0.00
ours: dom fattar ingenting | random: fattar dom ingenting
1.00 | 0.00
ours: dom klarade det | random: dom det klarade
1.00 | 0.00
ours: dom klarar sej | random: dom sej klarar
1.00 | 0.00
ours: dom luktade fisk | random: dom fisk luktade
1.00 | 0.00
ours: dom skakade hand | random: dom hand skakade
1.00 | 0.00
ours: dom tar honom | random: dom tar honom
1.00 | 1.00
ours: domstolen har misslyckats | random: domstolen har misslyckats
1.00 | 1.00
ours: drygt sjutton meter | random: meter drygt sjutton
1.00 | 0.33
ours: du fick syrebrist | random: fick du syrebrist
1.00 | 0.00
ours: du har mig | random: du mig har
1.00 | 0.00
ours: du har napp | random: napp du har
1.00 | 0.33
ours: du klarar det | random: klarar du det
1.00 | 0.00
ours: du rider ju | random: ju du rider
1.00 | 0.33
ours: du sa han | random: sa du han
1.00 | 0.00
ours: du tess mmm | random: du tess mmm
1.00 | 1.00
ours: du vet ingenting | random: ingenting vet du
1.00 | 0.00
ours: dubbelgrindarna lyser vita | random: lyser dubbelgrindarna vita
1.00 | 0.00
ours: dummer fnissar jag | random: dummer jag fnissar
1.00 | 0.00
ours: ebba rycker till | random: till rycker ebba
1.00 | 0.00
ours: elin och jag | random: jag och elin
1.00 | 0.00
ours: eller din pappa | random: pappa din eller
1.00 | 0.00
ours: eller hur erik | random: eller hur erik
1.00 | 1.00
ours: eller hur frida | random: hur frida eller
1.00 | 0.33
ours: eller hur kajsa | random: hur eller kajsa
1.00 | 0.00
ours: eller hur love | random: love eller hur
1.00 | 0.33
ours: eller hur mormor | random: mormor hur eller
1.00 | 0.00
ours: eller hur ponny | random: hur eller ponny
1.00 | 0.00
ours: eller i kvarnen | random: i kvarnen eller
1.00 | 0.33
ours: eller kanske atletico | random: eller atletico kanske
1.00 | 0.00
ours: emil ser foten | random: ser foten emil
1.00 | 0.33
ours: en alldeles egen | random: en egen alldeles
1.00 | 0.00
ours: en annan dag | random: dag annan en
1.00 | 0.00
ours: en blev kvar | random: en kvar blev
1.00 | 0.00
ours: en duva kuttrade | random: duva en kuttrade
1.00 | 0.00
ours: en egen ponny | random: egen ponny en
1.00 | 0.33
ours: en extra filt | random: filt en extra
1.00 | 0.33
ours: en fantastisk personlighet | random: personlighet fantastisk en
1.00 | 0.00
ours: en fick mamma | random: fick mamma en
1.00 | 0.33
ours: en grind gnisslar | random: en grind gnisslar
1.00 | 1.00
ours: en halv tusenlapp | random: halv tusenlapp en
1.00 | 0.33
ours: en halvtimme kvar | random: kvar en halvtimme
1.00 | 0.33
ours: en internationell liga | random: en liga internationell
1.00 | 0.00
ours: en mes pep | random: en pep mes
1.00 | 0.00
ours: en riktig egotrip | random: en riktig egotrip
1.00 | 1.00
ours: en riktig skatt | random: riktig en skatt
1.00 | 0.00
ours: en riktig trollerimorfar | random: en riktig trollerimorfar
1.00 | 1.00
ours: en sak till | random: sak till en
1.00 | 0.33
ours: en sekund gick | random: gick sekund en
1.00 | 0.00
ours: en signal till | random: till en signal
1.00 | 0.33
ours: en stor skandal | random: en skandal stor
1.00 | 0.00
ours: en telefon ringer | random: ringer en telefon
1.00 | 0.33
ours: en typisk kajsaplan | random: kajsaplan en typisk
1.00 | 0.33
ours: en vacker sten | random: en vacker sten
1.00 | 1.00
ours: en vit smoking | random: vit smoking en
1.00 | 0.33
ours: ensam i natten | random: natten i ensam
1.00 | 0.00
ours: ensam sa jag | random: sa jag ensam
1.00 | 0.33
ours: ensam vid gravarna | random: vid gravarna ensam
1.00 | 0.33
ours: envis sa jag | random: envis jag sa
1.00 | 0.00
ours: erik bara log | random: bara log erik
1.00 | 0.33
ours: erik bet ihop | random: ihop erik bet
1.00 | 0.33
ours: erik nickade bara | random: nickade bara erik
1.00 | 0.33
ours: erik nickade igen | random: nickade erik igen
1.00 | 0.00
ours: erik nickade tveksamt | random: erik nickade tveksamt
1.00 | 1.00
ours: erik sa inget | random: sa inget erik
1.00 | 0.33
ours: erik stelnade till | random: erik stelnade till
1.00 | 1.00
ours: erik tittade upp | random: tittade erik upp
1.00 | 0.00
ours: erik tog den | random: erik den tog
1.00 | 0.00
ours: erik vaknade tidigt | random: vaknade erik tidigt
1.00 | 0.00
ours: eriks pappa log | random: eriks log pappa
1.00 | 0.00
ours: ett bra resultat | random: resultat bra ett
1.00 | 0.00
ours: ett fint namn | random: namn fint ett
1.00 | 0.00
ours: ett gammalt russ | random: ett russ gammalt
1.00 | 0.00
ours: ett hopknycklat papper | random: ett hopknycklat papper
1.00 | 1.00
ours: ett nedfallet stenblock | random: nedfallet stenblock ett
1.00 | 0.33
ours: ett riktigt kanonskott | random: ett kanonskott riktigt
1.00 | 0.00
ours: ett tag kanske | random: kanske tag ett
1.00 | 0.00
ours: everything sa han | random: everything han sa
1.00 | 0.00
ours: falukorv varje dag | random: falukorv dag varje
1.00 | 0.00
ours: familjegraf stod det | random: det familjegraf stod
1.00 | 0.33
ours: familjen i framtiden | random: familjen framtiden i
1.00 | 0.00
ours: farfar hatade larver | random: hatade farfar larver
1.00 | 0.00
ours: farmor sa jag | random: farmor jag sa
1.00 | 0.00
ours: fattar du det | random: fattar du det
1.00 | 1.00
ours: fattar du ingenting | random: ingenting du fattar
1.00 | 0.00
ours: fattar du inte | random: inte du fattar
1.00 | 0.00
ours: fattar ni inte | random: ni inte fattar
1.00 | 0.33
ours: fattigdomen hotar freden | random: freden fattigdomen hotar
1.00 | 0.33
ours: fel av mej | random: mej av fel
1.00 | 0.00
ours: fel sa lisa | random: lisa sa fel
1.00 | 0.00
ours: felix bara gapade | random: bara gapade felix
1.00 | 0.33
ours: felix blir nyfiken | random: nyfiken blir felix
1.00 | 0.00
ours: felix fattade ingenting | random: felix fattade ingenting
1.00 | 1.00
ours: felix kanske skvallrar | random: kanske felix skvallrar
1.00 | 0.00
ours: felix ropar mamma | random: ropar felix mamma
1.00 | 0.00
ours: felix rynkade pannan | random: felix pannan rynkade
1.00 | 0.00
ours: felix suckade djupt | random: felix djupt suckade
1.00 | 0.00
ours: felix suckade tungt | random: suckade tungt felix
1.00 | 0.33
ours: felix svarade inte | random: svarade inte felix
1.00 | 0.33
ours: fick dom det | random: det fick dom
1.00 | 0.33
ours: fick du stryk | random: du fick stryk
1.00 | 0.00
ours: ficklampan i handen | random: i handen ficklampan
1.00 | 0.33
ours: filippa sa det | random: det filippa sa
1.00 | 0.33
ours: filippas pappa med | random: filippas pappa med
1.00 | 1.00
ours: filmstudion sa moa | random: filmstudion sa moa
1.00 | 1.00
ours: fimpen som rykte | random: som rykte fimpen
1.00 | 0.33
ours: finalen gick snabbat | random: snabbat finalen gick
1.00 | 0.33
ours: finalmatchen hade allt | random: finalmatchen hade allt
1.00 | 1.00
ours: finansminister sedan NUMBER | random: finansminister sedan NUMBER
1.00 | 1.00
ours: flera andra skadades | random: andra flera skadades
1.00 | 0.00
ours: flera bilbomber exploderade | random: exploderade bilbomber flera
1.00 | 0.00
ours: flera hundra skadades | random: hundra flera skadades
1.00 | 0.00
ours: flickorna hoppar rep | random: rep hoppar flickorna
1.00 | 0.00
ours: flotten snodde runt | random: runt snodde flotten
1.00 | 0.00
ours: flyg nyckelpiga flyg | random: flyg nyckelpiga flyg
1.00 | 1.00
ours: fortsatte att sticka | random: fortsatte att sticka
1.00 | 1.00
ours: frederic blooms dansorkester | random: blooms frederic dansorkester
1.00 | 0.00
ours: frederic sa han | random: han frederic sa
1.00 | 0.33
ours: frederic tittade upp | random: tittade frederic upp
1.00 | 0.00
ours: frida kikade ner | random: kikade frida ner
1.00 | 0.00
ours: frida nickade allvarligt | random: frida allvarligt nickade
1.00 | 0.00
ours: frida skrek till | random: frida skrek till
1.00 | 1.00
ours: frida var rasande | random: frida var rasande
1.00 | 1.00
ours: full av funderingar | random: full av funderingar
1.00 | 1.00
ours: fult och urtrist | random: urtrist och fult
1.00 | 0.00
ours: fyllde ditte i | random: fyllde i ditte
1.00 | 0.00
ours: fyrkantigt sa jag | random: sa fyrkantigt jag
1.00 | 0.00
ours: gabrielle svarade inte | random: svarade inte gabrielle
1.00 | 0.33
ours: galatasary var favoriter | random: galatasary favoriter var
1.00 | 0.00
ours: galne hugo nickade | random: hugo nickade galne
1.00 | 0.33
ours: gulliga gamla mormor | random: gamla mormor gulliga
0.00 | 0.00
ours: ge dig inte | random: inte dig ge
1.00 | 0.00
ours: gick klockan fel | random: fel gick klockan
1.00 | 0.33
ours: gillar du henne | random: henne du gillar
1.00 | 0.00
ours: han gjorde det | random: han det gjorde
0.00 | 0.33
ours: glaset var halvfullt | random: halvfullt glaset var
1.00 | 0.33
ours: god sa jag | random: jag god sa
1.00 | 0.33
ours: gode gode gud | random: gode gud gode
1.00 | 0.33
ours: gottfrid kom in | random: kom in gottfrid
1.00 | 0.33
ours: gratulerar sa conny | random: gratulerar sa conny
1.00 | 1.00
ours: gruppen kallades estoniakommissionen | random: kallades estoniakommissionen gruppen
1.00 | 0.33
ours: gulliga gamla mormor | random: gamla gulliga mormor
1.00 | 0.00
ours: gunatt sa han | random: sa gunatt han
1.00 | 0.00
ours: gunatt sa vi | random: sa vi gunatt
1.00 | 0.33
ours: ha det kul | random: det ha kul
1.00 | 0.00
ours: hade erik ropat | random: ropat hade erik
1.00 | 0.33
ours: hade han det | random: han det hade
1.00 | 0.33
ours: hade han sagt | random: hade sagt han
1.00 | 0.00
ours: hade svarar jonathan | random: jonathan hade svarar
1.00 | 0.33
ours: hallen verkade tom | random: tom verkade hallen
1.00 | 0.00
ours: halsdukar och kravatter | random: kravatter och halsdukar
1.00 | 0.00
ours: han bara dansade | random: dansade han bara
1.00 | 0.33
ours: han blev ilsken | random: han blev ilsken
1.00 | 1.00
ours: han blev knivskuren | random: blev knivskuren han
1.00 | 0.33
ours: han borde sluta | random: borde han sluta
1.00 | 0.00
ours: han dog genast | random: genast han dog
1.00 | 0.33
ours: han fattar ingenting | random: han ingenting fattar
1.00 | 0.00
ours: han fattar inget | random: inget han fattar
1.00 | 0.33
ours: han finns ingenstans | random: finns han ingenstans
1.00 | 0.00
ours: han fnissar lite | random: fnissar lite han
1.00 | 0.33
ours: han gillar dig | random: han gillar dig
1.00 | 1.00
ours: han hade kniv | random: hade kniv han
1.00 | 0.33
ours: han hann precis | random: han hann precis
1.00 | 1.00
ours: han har fattat | random: han fattat har
1.00 | 0.00
ours: han har svindel | random: han svindel har
1.00 | 0.00
ours: han hatade paella | random: hatade paella han
1.00 | 0.33
ours: han hatade spanien | random: han spanien hatade
1.00 | 0.00
ours: han heter erik | random: erik han heter
1.00 | 0.33
ours: han heter percy | random: percy han heter
1.00 | 0.33
ours: han jagar inte | random: jagar inte han
1.00 | 0.33
ours: han klarade NUMBER | random: han NUMBER klarade
1.00 | 0.00
ours: han kom tillbaka | random: tillbaka han kom
1.00 | 0.33
ours: han kramade henne | random: han kramade henne
1.00 | 1.00
ours: han kunde inte | random: inte han kunde
1.00 | 0.33
ours: han kunde reglerna | random: reglerna kunde han
1.00 | 0.00
ours: han luktar underbart | random: underbart han luktar
1.00 | 0.33
ours: han lyssnade inte | random: han inte lyssnade
1.00 | 0.00
ours: han lyssnade tydligen | random: han lyssnade tydligen
1.00 | 1.00
ours: han mumlade bara | random: han mumlade bara
1.00 | 1.00
ours: han nickade sakta | random: nickade sakta han
1.00 | 0.33
ours: han nickar bara | random: nickar bara han
1.00 | 0.33
ours: han och jag | random: jag och han
1.00 | 0.00
ours: han orkade inte | random: han orkade inte
1.00 | 1.00
ours: han sa ingenting | random: sa han ingenting
1.00 | 0.00
ours: han sa inget | random: sa han inget
1.00 | 0.00
ours: nej sa han | random: sa nej han
0.00 | 0.33
ours: han sjunger bra | random: sjunger han bra
1.00 | 0.00
ours: han skrattar lite | random: han lite skrattar
1.00 | 0.00
ours: han skriver deckare | random: han deckare skriver
1.00 | 0.00
ours: han snubblade med | random: med han snubblade
1.00 | 0.33
ours: han spinner svikaren | random: svikaren han spinner
1.00 | 0.33
ours: han springer snabbt | random: snabbt han springer
1.00 | 0.33
ours: han startade bilen | random: han startade bilen
1.00 | 1.00
ours: han startade bra | random: han bra startade
1.00 | 0.00
ours: han svarar inte | random: inte svarar han
1.00 | 0.00
ours: han trodde fel | random: han fel trodde
1.00 | 0.00
ours: han trodde inte | random: han trodde inte
1.00 | 1.00
ours: han var galen | random: var han galen
1.00 | 0.00
ours: han var lycklig | random: var han lycklig
1.00 | 0.00
ours: han var lysande | random: lysande var han
1.00 | 0.00
ours: han var turist | random: var han turist
1.00 | 0.00
ours: han var ursinnig | random: ursinnig var han
1.00 | 0.00
ours: hans eget blod | random: hans blod eget
1.00 | 0.00
ours: hans och kajsas | random: kajsas och hans
1.00 | 0.00
ours: har du det | random: har det du
1.00 | 0.00
ours: har du popcorn | random: har popcorn du
1.00 | 0.00
ours: har du sett | random: har du sett
1.00 | 1.00
ours: har du tid | random: tid har du
1.00 | 0.33
ours: har man schett | random: schett har man
1.00 | 0.33
ours: har ni dem | random: ni har dem
1.00 | 0.00
ours: har ni korv | random: ni har korv
1.00 | 0.00
ours: har ni slagits | random: har slagits ni
1.00 | 0.00
ours: hej igen kajsa | random: igen hej kajsa
1.00 | 0.00
ours: hej lilla gumman | random: hej lilla gumman
1.00 | 1.00
ours: hej muttrade mannen | random: hej mannen muttrade
1.00 | 0.00
ours: hej sa han | random: hej han sa
1.00 | 0.00
ours: hej sa hon | random: sa hej hon
1.00 | 0.00
ours: hej sa jag | random: jag hej sa
1.00 | 0.33
ours: hej sa mirran | random: sa hej mirran
1.00 | 0.00
ours: hej sa myran | random: sa myran hej
1.00 | 0.33
ours: hej sa percy | random: sa percy hej
1.00 | 0.33
