ours: NUMBER joel hej | random: NUMBER joel hej
ours: att bli privatdetektiv | random: privatdetektiv bli att
1.00 | 0.00
ours: viftar hundsvansen att | random: hundsvansen att viftar
0.00 | 0.00
ours: att just jonas | random: att jonas just
1.00 | 0.00
ours: ponny ner axlarna | random: ponny ner axlarna
0.00 | 0.00
ours: stol mormors bakom | random: bakom stol mormors
0.00 | 0.00
ours: bara en friades | random: friades bara en
1.00 | 0.33
ours: bara ett nummer | random: ett nummer bara
1.00 | 0.33
ours: barn och ungdomar | random: barn ungdomar och
1.00 | 0.00
ours: be om receptet | random: receptet om be
1.00 | 0.00
ours: tor hon befaller | random: befaller hon tor
0.00 | 1.00
ours: begriper du det | random: du det begriper
1.00 | 0.33
ours: bekymra dej inte | random: bekymra inte dej
1.00 | 0.00
ours: han viskade bell | random: bell viskade han
0.00 | 1.00
ours: bergen var enorma | random: bergen enorma var
1.00 | 0.00
ours: besvikelsen var stor | random: besvikelsen var stor
1.00 | 1.00
ours: snabbt trippar bingo | random: snabbt bingo trippar
0.00 | 0.33
ours: bjerkeli kom trea | random: bjerkeli trea kom
1.00 | 0.00
ours: bjud honom hem | random: hem bjud honom
0.00 | 0.00
ours: bla bla bla | random: bla bla bla
1.00 | 1.00
ours: han blev sur | random: sur blev han
0.00 | 0.33
ours: blinkar och blinkar | random: blinkar blinkar och
1.00 | 0.33
ours: bollen ska tillbaka | random: bollen ska tillbaka
1.00 | 1.00
ours: bort bort bort | random: bort bort bort
1.00 | 1.00
ours: bort med dig | random: bort med dig
1.00 | 1.00
ours: borta vid havsudden | random: havsudden vid borta
1.00 | 0.00
ours: berit sa bra | random: sa berit bra
0.00 | 0.33
ours: farfar sa bra | random: sa bra farfar
0.00 | 0.00
ours: sa han bra | random: bra han sa
0.33 | 0.00
ours: mirran sa bra | random: mirran bra sa
0.00 | 0.33
ours: morfar sa bra | random: sa morfar bra
0.00 | 0.33
ours: jag svarar bra | random: bra svarar jag
0.00 | 1.00
ours: bussen var full | random: bussen full var
1.00 | 0.00
ours: bygglov eller inte | random: eller bygglov inte
1.00 | 0.00
ours: chuck och tekla | random: tekla chuck och
1.00 | 0.33
ours: dagen var varm | random: varm var dagen
1.00 | 0.00
ours: dansar aldrig ni | random: aldrig dansar ni
0.00 | 0.33
ours: de adopterar barnet | random: de adopterar barnet
1.00 | 1.00
ours: de andra flinade | random: andra flinade de
1.00 | 0.33
ours: de andra nickade | random: de andra nickade
1.00 | 1.00
ours: de andra stelnade | random: stelnade de andra
1.00 | 0.33
ours: de firade segern | random: de firade segern
1.00 | 1.00
ours: de gick fram | random: fram gick de
1.00 | 0.00
ours: kyligt glimmar de | random: glimmar kyligt de
0.00 | 0.33
ours: de hade fel | random: de hade fel
1.00 | 1.00
ours: de hade vunnit | random: de vunnit hade
1.00 | 0.33
ours: de kallades atp | random: atp kallades de
1.00 | 0.00
ours: de kallades brobyggarna | random: kallades de brobyggarna
1.00 | 0.00
ours: de kallas arbetslivsmuseer | random: arbetslivsmuseer de kallas
1.00 | 0.33
ours: de ligger sist | random: de sist ligger
1.00 | 0.00
ours: de pratar tyst | random: pratar tyst de
1.00 | 0.33
ours: de ska samarbeta | random: samarbeta ska de
1.00 | 0.00
ours: de utbytte blickar | random: utbytte blickar de
1.00 | 0.33
ours: var de apatiska | random: var apatiska de
0.00 | 0.33
ours: de var dammiga | random: de dammiga var
1.00 | 0.00
ours: de verkade blyga | random: de verkade blyga
1.00 | 1.00
ours: betyder demokrati folkstyre | random: demokrati betyder folkstyre
0.00 | 1.00
ours: den fick pris | random: fick den pris
1.00 | 0.00
ours: den heter djurskyddsmyndigheten | random: heter djurskyddsmyndigheten den
1.00 | 0.33
ours: den heter krav | random: krav heter den
1.00 | 0.00
ours: den hette pretto | random: den hette pretto
1.00 | 1.00
ours: luktar den tessa | random: den luktar tessa
0.00 | 1.00
ours: den sitter fast | random: fast den sitter
1.00 | 0.33
ours: ljuvligt smakade den | random: smakade ljuvligt den
0.00 | 0.33
ours: den var med | random: med var den
1.00 | 0.00
ours: den var tokgod | random: den var tokgod
1.00 | 1.00
ours: myndigheterna styr departementen | random: myndigheterna departementen styr
0.00 | 0.33
ours: det avgjorde matchen | random: avgjorde det matchen
1.00 | 0.00
ours: det avgjorde saken | random: saken det avgjorde
1.00 | 0.33
ours: ja det betydde | random: ja betydde det
0.33 | 0.00
ours: det betydde victory | random: victory det betydde
1.00 | 0.33
ours: det betyder ju | random: det betyder ju
1.00 | 1.00
ours: det blev krig | random: krig blev det
1.00 | 0.00
ours: det blir skitkul | random: skitkul det blir
1.00 | 0.33
ours: blixtrar det igen | random: igen det blixtrar
0.00 | 0.33
ours: det doftar sommar | random: sommar det doftar
1.00 | 0.33
ours: det jag fattar | random: jag det fattar
0.00 | 0.33
ours: det finns kritiker | random: finns det kritiker
1.00 | 0.00
ours: sej fixar det | random: sej fixar det
0.00 | 0.00
ours: funkar det inte | random: inte det funkar
0.00 | 0.33
ours: det gick inte | random: det inte gick
1.00 | 0.00
ours: det gjorde det | random: det gjorde det
1.00 | 1.00
ours: det dom gjorde | random: det dom gjorde
0.00 | 0.00
ours: det gjorde ingenting | random: det gjorde ingenting
1.00 | 1.00
ours: jag gjorde det | random: jag det gjorde
0.00 | 0.33
ours: det gjorde ont | random: gjorde ont det
1.00 | 0.33
ours: det gjorde susen | random: susen det gjorde
1.00 | 0.33
ours: vi gjorde det | random: det vi gjorde
0.00 | 0.00
ours: det hade det | random: det hade det
1.00 | 1.00
ours: det hade jag | random: det jag hade
1.00 | 0.00
ours: det heter kunskapsporten | random: det kunskapsporten heter
1.00 | 0.00
ours: irriterar mig det | random: mig irriterar det
0.33 | 0.00
ours: det kallas bristyrkesutbildning | random: kallas bristyrkesutbildning det
1.00 | 0.33
ours: det kallas cellfusion | random: cellfusion det kallas
1.00 | 0.33
ours: det kallas ekologiskt | random: det kallas ekologiskt
1.00 | 1.00
ours: det kallas familjehem | random: kallas det familjehem
1.00 | 0.00
ours: det kallas inkasso | random: kallas inkasso det
1.00 | 0.33
ours: det kallas kartellsamarbete | random: kallas det kartellsamarbete
1.00 | 0.00
ours: det kallas massflykt | random: kallas det massflykt
1.00 | 0.00
ours: det kallas merkostnader | random: merkostnader det kallas
1.00 | 0.33
ours: det kallas narkotikahandel | random: narkotikahandel kallas det
1.00 | 0.00
ours: det kallas partnerskap | random: partnerskap det kallas
1.00 | 0.33
ours: det kallas protokoll | random: det kallas protokoll
1.00 | 1.00
ours: det kallas sponsring | random: sponsring det kallas
1.00 | 0.33
ours: det kallas typsnitt | random: kallas typsnitt det
1.00 | 0.33
ours: det vi kan | random: det kan vi
0.00 | 1.00
ours: kommer det mer | random: kommer det mer
0.00 | 0.00
ours: ingen kunde det | random: det ingen kunde
0.00 | 0.00
ours: lovar jag det | random: jag det lovar
0.33 | 0.33
ours: lovar det regeringen | random: det regeringen lovar
0.00 | 0.00
ours: det luktar liljekonvaljparfym | random: liljekonvaljparfym det luktar
1.00 | 0.33
ours: det lyckades inte | random: inte lyckades det
1.00 | 0.00
ours: ordnar sig det | random: sig ordnar det
0.33 | 0.00
ours: det regnar ju | random: regnar det ju
1.00 | 0.00
ours: det han ropar | random: ropar han det
0.00 | 0.33
ours: slutar det regna | random: slutar det regna
0.00 | 0.00
ours: steg det fortfarande | random: det steg fortfarande
0.00 | 1.00
ours: det tycker experterna | random: det tycker experterna
1.00 | 1.00
ours: det tycker regeingen | random: tycker det regeingen
1.00 | 0.00
ours: det var NUMBER | random: var det NUMBER
1.00 | 0.00
ours: det var allt | random: det var allt
1.00 | 1.00
ours: det var anne | random: det anne var
1.00 | 0.00
ours: det var badbyxorna | random: det badbyxorna var
1.00 | 0.00
ours: det var conny | random: conny det var
1.00 | 0.33
ours: det var danskan | random: danskan var det
1.00 | 0.00
ours: det var de | random: det de var
1.00 | 0.00
ours: dom var det | random: det dom var
0.00 | 0.00
ours: det var erik | random: var erik det
1.00 | 0.33
ours: det var finrummet | random: var finrummet det
1.00 | 0.33
ours: det var hemskt | random: hemskt var det
1.00 | 0.00
ours: var det ingenting | random: var det ingenting
0.00 | 0.00
ours: det var jakes | random: det jakes var
1.00 | 0.00
ours: var det jobbigt | random: var jobbigt det
0.00 | 0.33
ours: det var katastrof | random: var katastrof det
1.00 | 0.33
ours: det var konstigt | random: det konstigt var
1.00 | 0.00
ours: det var korkat | random: var korkat det
1.00 | 0.33
ours: manuel var det | random: det var manuel
0.00 | 1.00
ours: det var maria | random: var det maria
1.00 | 0.00
ours: det var moa | random: moa det var
1.00 | 0.33
ours: det var molnigt | random: var det molnigt
1.00 | 0.00
ours: det var ovanligt | random: det ovanligt var
1.00 | 0.00
ours: det var ricke | random: det ricke var
1.00 | 0.00
ours: det var riskabelt | random: riskabelt var det
1.00 | 0.00
ours: sanning var det | random: det var sanning
0.00 | 1.00
ours: det var sant | random: det var sant
1.00 | 1.00
ours: sara var det | random: sara var det
0.00 | 0.00
ours: det var skitjobbigt | random: var skitjobbigt det
1.00 | 0.33
ours: det var slut | random: det slut var
1.00 | 0.00
ours: det var sommarlov | random: det sommarlov var
1.00 | 0.00
ours: det var synd | random: var synd det
1.00 | 0.33
ours: det var taskigt | random: det var taskigt
1.00 | 1.00
ours: det var underbart | random: det underbart var
1.00 | 0.00
ours: var det verklighet | random: det var verklighet
0.00 | 1.00
ours: det verkar enkelt | random: enkelt verkar det
1.00 | 0.00
ours: det verkar smittsamt | random: verkar det smittsamt
1.00 | 0.00
ours: alla vet det | random: alla vet det
0.00 | 0.00
ours: det vet inez | random: det vet inez
1.00 | 1.00
ours: det vet ingen | random: det vet ingen
1.00 | 1.00
ours: jag vet det | random: jag det vet
0.00 | 0.33
ours: det vill de | random: de det vill
1.00 | 0.33
ours: det vill inez | random: det vill inez
1.00 | 1.00
ours: jag visste det | random: det visste jag
0.00 | 1.00
ours: mormor visste det | random: mormor visste det
0.00 | 0.00
ours: det vore fint | random: vore fint det
1.00 | 0.33
ours: vore det kul | random: kul det vore
0.00 | 0.33
ours: det vore skoj | random: skoj vore det
1.00 | 0.00
ours: han sa detsamma | random: sa detsamma han
0.00 | 0.00
ours: detta gav mersmak | random: gav detta mersmak
1.00 | 0.00
ours: detta kallas placeboeffekten | random: kallas placeboeffekten detta
1.00 | 0.33
ours: dikten finns kvar | random: dikten finns kvar
1.00 | 1.00
ours: leksaker gamla dina | random: gamla dina leksaker
0.00 | 0.00
ours: ditt stora intresse | random: ditt intresse stora
1.00 | 0.00
ours: ditte kysste honom | random: ditte honom kysste
1.00 | 0.00
ours: ditte och jag | random: och jag ditte
1.00 | 0.33
ours: sepp och ditte | random: sepp ditte och
0.00 | 0.33
ours: ditte sa ingenting | random: sa ditte ingenting
1.00 | 0.00
ours: ditte var tillbaka | random: var ditte tillbaka
1.00 | 0.00
ours: felix viskade ditte | random: ditte felix viskade
0.00 | 0.00
ours: dom blir godast | random: dom godast blir
1.00 | 0.00
ours: dom fattar ingenting | random: ingenting fattar dom
1.00 | 0.00
ours: det klarade dom | random: klarade dom det
0.00 | 0.00
ours: sej klarar dom | random: dom sej klarar
0.00 | 0.00
ours: fisk luktade dom | random: dom fisk luktade
0.00 | 0.00
ours: hand skakade dom | random: skakade hand dom
0.00 | 0.33
ours: dom tar honom | random: dom honom tar
1.00 | 0.00
ours: domstolen har misslyckats | random: domstolen har misslyckats
1.00 | 1.00
ours: meter sjutton drygt | random: drygt meter sjutton
0.00 | 0.00
ours: syrebrist fick du | random: syrebrist fick du
0.00 | 0.00
ours: har du mig | random: har du mig
0.00 | 0.00
ours: har du napp | random: har du napp
0.00 | 0.00
ours: klarar du det | random: klarar du det
0.00 | 0.00
ours: ju rider du | random: rider ju du
0.00 | 0.33
ours: han sa du | random: sa han du
0.00 | 0.33
ours: mmm tess du | random: tess mmm du
0.00 | 0.33
ours: du vet ingenting | random: ingenting vet du
1.00 | 0.00
ours: dubbelgrindarna lyser vita | random: dubbelgrindarna lyser vita
1.00 | 1.00
ours: jag fnissar dummer | random: fnissar jag dummer
0.00 | 0.33
ours: rycker till ebba | random: till ebba rycker
0.33 | 0.33
ours: elin och jag | random: elin och jag
1.00 | 1.00
ours: pappa eller din | random: eller pappa din
0.33 | 0.00
ours: erik eller hur | random: erik hur eller
0.33 | 0.00
ours: frida eller hur | random: eller hur frida
0.33 | 1.00
ours: kajsa eller hur | random: hur eller kajsa
0.33 | 0.00
ours: love eller hur | random: love hur eller
0.33 | 0.00
ours: hur eller mormor | random: eller mormor hur
0.00 | 0.00
ours: hur eller ponny | random: hur eller ponny
0.00 | 0.00
ours: eller i kvarnen | random: i eller kvarnen
1.00 | 0.00
ours: eller kanske atletico | random: atletico kanske eller
1.00 | 0.00
ours: foten ser emil | random: foten ser emil
0.00 | 0.00
ours: en egen alldeles | random: en alldeles egen
0.00 | 1.00
ours: en annan dag | random: dag en annan
1.00 | 0.33
ours: kvar blev en | random: en blev kvar
0.00 | 1.00
ours: kuttrade en duva | random: duva kuttrade en
0.33 | 0.33
ours: en egen ponny | random: ponny en egen
1.00 | 0.33
ours: en extra filt | random: extra filt en
1.00 | 0.33
ours: en fantastisk personlighet | random: fantastisk personlighet en
1.00 | 0.33
ours: fick en mamma | random: en fick mamma
0.00 | 1.00
ours: gnisslar en grind | random: gnisslar en grind
0.33 | 0.33
ours: en halv tusenlapp | random: tusenlapp en halv
1.00 | 0.33
ours: en halvtimme kvar | random: halvtimme en kvar
1.00 | 0.00
ours: en internationell liga | random: liga internationell en
1.00 | 0.00
ours: pep en mes | random: pep en mes
0.33 | 0.33
ours: en riktig egotrip | random: egotrip riktig en
1.00 | 0.00
ours: en riktig skatt | random: riktig en skatt
1.00 | 0.00
ours: en riktig trollerimorfar | random: trollerimorfar riktig en
1.00 | 0.00
ours: till en sak | random: till sak en
0.33 | 0.00
ours: gick en sekund | random: sekund en gick
0.33 | 0.00
ours: till en signal | random: en till signal
0.33 | 0.00
ours: en stor skandal | random: stor skandal en
1.00 | 0.33
ours: en telefon ringer | random: telefon en ringer
1.00 | 0.00
ours: en typisk kajsaplan | random: kajsaplan typisk en
1.00 | 0.00
ours: vacker en sten | random: en sten vacker
0.00 | 0.00
ours: en vit smoking | random: en smoking vit
1.00 | 0.00
ours: ensam i natten | random: natten ensam i
1.00 | 0.33
ours: sa jag ensam | random: sa ensam jag
0.33 | 0.00
ours: gravarna vid ensam | random: vid ensam gravarna
0.00 | 0.00
ours: jag sa envis | random: envis jag sa
0.00 | 0.00
ours: log bara erik | random: erik bara log
0.00 | 1.00
ours: ihop bet erik | random: erik ihop bet
0.00 | 0.00
ours: bara nickade erik | random: erik nickade bara
0.00 | 1.00
ours: igen nickade erik | random: nickade erik igen
0.00 | 0.00
ours: tveksamt nickade erik | random: nickade erik tveksamt
0.00 | 0.00
ours: inget sa erik | random: sa erik inget
0.00 | 0.00
ours: stelnade till erik | random: till erik stelnade
0.33 | 0.33
ours: upp tittade erik | random: tittade upp erik
0.00 | 0.33
ours: erik tog den | random: erik tog den
1.00 | 1.00
ours: erik vaknade tidigt | random: vaknade tidigt erik
1.00 | 0.33
ours: eriks pappa log | random: pappa log eriks
1.00 | 0.33
ours: ett bra resultat | random: resultat bra ett
1.00 | 0.00
ours: fint ett namn | random: namn fint ett
0.00 | 0.00
ours: ett gammalt russ | random: gammalt russ ett
1.00 | 0.33
ours: hopknycklat ett papper | random: hopknycklat ett papper
0.00 | 0.00
ours: nedfallet ett stenblock | random: ett stenblock nedfallet
0.00 | 0.00
ours: ett riktigt kanonskott | random: riktigt ett kanonskott
1.00 | 0.00
ours: kanske ett tag | random: tag kanske ett
0.33 | 0.33
ours: han sa everything | random: han everything sa
0.00 | 0.33
ours: falukorv varje dag | random: dag varje falukorv
1.00 | 0.00
ours: det stod familjegraf | random: det stod familjegraf
0.00 | 0.00
ours: familjen i framtiden | random: i familjen framtiden
1.00 | 0.00
ours: larver hatade farfar | random: farfar hatade larver
0.00 | 1.00
ours: jag sa farmor | random: sa farmor jag
0.00 | 0.00
ours: fattar du det | random: du det fattar
1.00 | 0.33
ours: du fattar ingenting | random: du ingenting fattar
0.00 | 0.33
ours: fattar du inte | random: fattar inte du
1.00 | 0.00
ours: ni inte fattar | random: inte fattar ni
0.33 | 0.33
ours: fattigdomen hotar freden | random: fattigdomen hotar freden
1.00 | 1.00
ours: mej av fel | random: fel av mej
0.00 | 1.00
ours: lisa sa fel | random: fel lisa sa
0.00 | 0.00
ours: gapade bara felix | random: felix bara gapade
0.00 | 1.00
ours: felix blir nyfiken | random: felix blir nyfiken
1.00 | 1.00
ours: ingenting fattade felix | random: felix ingenting fattade
0.00 | 0.00
ours: skvallrar kanske felix | random: skvallrar kanske felix
0.00 | 0.00
ours: felix mamma ropar | random: ropar mamma felix
0.00 | 0.33
ours: pannan rynkade felix | random: rynkade pannan felix
0.00 | 0.33
ours: djupt suckade felix | random: suckade felix djupt
0.00 | 0.00
ours: tungt suckade felix | random: suckade felix tungt
0.00 | 0.00
ours: felix svarade inte | random: svarade inte felix
1.00 | 0.33
ours: dom fick det | random: dom det fick
0.00 | 0.33
ours: stryk fick du | random: fick stryk du
0.33 | 0.00
ours: handen i ficklampan | random: i ficklampan handen
0.00 | 0.00
ours: det sa filippa | random: det filippa sa
0.00 | 0.33
ours: filippas med pappa | random: med filippas pappa
0.00 | 0.33
ours: moa sa filmstudion | random: filmstudion sa moa
0.00 | 1.00
ours: rykte som fimpen | random: som fimpen rykte
0.00 | 0.00
ours: finalen gick snabbat | random: snabbat finalen gick
1.00 | 0.33
ours: allt hade finalmatchen | random: allt hade finalmatchen
0.00 | 0.00
ours: sedan NUMBER finansminister | random: NUMBER sedan finansminister
0.33 | 0.00
ours: flera andra skadades | random: andra skadades flera
1.00 | 0.33
ours: exploderade bilbomber flera | random: exploderade flera bilbomber
0.00 | 0.33
ours: flera hundra skadades | random: flera hundra skadades
1.00 | 1.00
ours: rep hoppar flickorna | random: flickorna hoppar rep
0.00 | 1.00
ours: runt snodde flotten | random: flotten runt snodde
0.00 | 0.00
ours: flyg nyckelpiga flyg | random: flyg nyckelpiga flyg
1.00 | 1.00
ours: fortsatte att sticka | random: fortsatte sticka att
1.00 | 0.00
ours: dansorkester blooms frederic | random: blooms frederic dansorkester
0.00 | 0.00
ours: han sa frederic | random: sa han frederic
0.00 | 0.33
ours: upp tittade frederic | random: frederic upp tittade
0.00 | 0.00
ours: ner kikade frida | random: kikade ner frida
0.00 | 0.33
ours: allvarligt nickade frida | random: frida allvarligt nickade
0.00 | 0.00
ours: till skrek frida | random: skrek till frida
0.00 | 0.33
ours: frida var rasande | random: var rasande frida
1.00 | 0.33
ours: full av funderingar | random: full av funderingar
1.00 | 1.00
ours: urtrist och fult | random: fult och urtrist
0.00 | 1.00
ours: i ditte fyllde | random: i ditte fyllde
0.00 | 0.00
ours: jag sa fyrkantigt | random: sa fyrkantigt jag
0.00 | 0.00
ours: gabrielle svarade inte | random: gabrielle inte svarade
1.00 | 0.00
ours: galatasary var favoriter | random: var favoriter galatasary
1.00 | 0.33
ours: nickade hugo galne | random: nickade galne hugo
0.00 | 0.33
ours: gulliga gamla mormor | random: gulliga mormor gamla
0.00 | 0.33
ours: ge dig inte | random: ge dig inte
1.00 | 1.00
ours: klockan gick fel | random: gick klockan fel
0.00 | 1.00
ours: du gillar henne | random: henne du gillar
0.00 | 0.00
ours: han gjorde det | random: han det gjorde
0.00 | 0.33
ours: glaset var halvfullt | random: halvfullt var glaset
1.00 | 0.00
ours: jag sa god | random: god sa jag
0.00 | 1.00
ours: gode gode gud | random: gode gud gode
1.00 | 0.33
ours: gottfrid kom in | random: in gottfrid kom
1.00 | 0.33
ours: conny sa gratulerar | random: sa gratulerar conny
0.00 | 0.00
ours: gruppen kallades estoniakommissionen | random: estoniakommissionen gruppen kallades
1.00 | 0.33
ours: gulliga gamla mormor | random: gamla mormor gulliga
1.00 | 0.33
ours: han sa gunatt | random: gunatt han sa
0.00 | 0.00
ours: gunatt vi sa | random: gunatt sa vi
0.00 | 1.00
ours: kul ha det | random: ha kul det
0.33 | 0.00
ours: erik hade ropat | random: ropat erik hade
0.00 | 0.00
ours: han hade det | random: det hade han
0.00 | 0.33
ours: han hade sagt | random: han hade sagt
0.00 | 0.00
ours: jonathan hade svarar | random: jonathan hade svarar
0.33 | 0.33
ours: tom verkade hallen | random: tom verkade hallen
0.00 | 0.00
ours: kravatter och halsdukar | random: och kravatter halsdukar
0.00 | 0.33
ours: bara han dansade | random: bara dansade han
0.00 | 0.33
ours: han blev ilsken | random: blev han ilsken
1.00 | 0.00
ours: han blev knivskuren | random: knivskuren han blev
1.00 | 0.33
ours: han borde sluta | random: han sluta borde
1.00 | 0.00
ours: han dog genast | random: han genast dog
1.00 | 0.00
ours: fattar han ingenting | random: ingenting fattar han
0.00 | 0.00
ours: fattar han inget | random: han inget fattar
0.00 | 0.00
ours: han finns ingenstans | random: han finns ingenstans
1.00 | 1.00
ours: lite fnissar han | random: fnissar han lite
0.00 | 0.00
ours: han gillar dig | random: gillar dig han
1.00 | 0.33
ours: han hade kniv | random: kniv han hade
1.00 | 0.33
ours: han hann precis | random: precis hann han
1.00 | 0.00
ours: han har fattat | random: har han fattat
1.00 | 0.00
ours: han har svindel | random: han svindel har
1.00 | 0.00
ours: han hatade paella | random: paella han hatade
1.00 | 0.33
ours: han hatade spanien | random: han hatade spanien
1.00 | 1.00
ours: han heter erik | random: heter han erik
1.00 | 0.00
ours: han heter percy | random: han percy heter
1.00 | 0.00
ours: jagar han inte | random: jagar han inte
0.00 | 0.00
ours: han klarade NUMBER | random: NUMBER klarade han
1.00 | 0.00
ours: han kom tillbaka | random: tillbaka kom han
1.00 | 0.00
ours: kramade han henne | random: kramade henne han
0.00 | 0.33
ours: han kunde inte | random: han kunde inte
1.00 | 1.00
ours: reglerna kunde han | random: kunde reglerna han
0.00 | 0.33
ours: underbart luktar han | random: underbart han luktar
0.00 | 0.33
ours: lyssnade han inte | random: lyssnade inte han
0.00 | 0.33
ours: han lyssnade tydligen | random: lyssnade tydligen han
1.00 | 0.33
ours: bara han mumlade | random: bara mumlade han
0.33 | 0.00
ours: han nickade sakta | random: han sakta nickade
1.00 | 0.00
ours: bara han nickar | random: nickar han bara
0.33 | 0.00
ours: han och jag | random: jag och han
1.00 | 0.00
ours: han inte orkade | random: inte orkade han
0.00 | 0.00
ours: han sa ingenting | random: han sa ingenting
1.00 | 1.00
ours: sa han inget | random: inget han sa
0.00 | 0.33
ours: han sa nej | random: han nej sa
1.00 | 0.00
ours: han sjunger bra | random: bra han sjunger
1.00 | 0.33
ours: lite han skrattar | random: lite han skrattar
0.33 | 0.33
ours: han skriver deckare | random: han skriver deckare
1.00 | 1.00
ours: snubblade han med | random: med snubblade han
0.00 | 0.00
ours: han spinner svikaren | random: han svikaren spinner
1.00 | 0.00
ours: han springer snabbt | random: springer snabbt han
1.00 | 0.33
ours: bilen han startade | random: startade han bilen
0.33 | 0.00
ours: han startade bra | random: han startade bra
1.00 | 1.00
ours: han svarar inte | random: svarar han inte
1.00 | 0.00
ours: han trodde fel | random: han trodde fel
1.00 | 1.00
ours: han trodde inte | random: han trodde inte
1.00 | 1.00
ours: han var galen | random: var galen han
1.00 | 0.33
ours: han var lycklig | random: var lycklig han
1.00 | 0.33
ours: han var lysande | random: han lysande var
1.00 | 0.00
ours: han var turist | random: var turist han
1.00 | 0.33
ours: var han ursinnig | random: han var ursinnig
0.00 | 1.00
ours: hans eget blod | random: eget hans blod
1.00 | 0.00
ours: hans och kajsas | random: och kajsas hans
1.00 | 0.33
ours: du har det | random: har du det
0.00 | 1.00
ours: har du popcorn | random: du har popcorn
1.00 | 0.00
ours: har du sett | random: du sett har
1.00 | 0.33
ours: du har tid | random: du har tid
0.00 | 0.00
ours: man har schett | random: har man schett
0.00 | 1.00
ours: ni har dem | random: har ni dem
0.00 | 1.00
ours: ni har korv | random: har korv ni
0.00 | 0.00
ours: ni har slagits | random: ni har slagits
0.00 | 0.00
ours: kajsa igen hej | random: kajsa igen hej
0.00 | 0.00
ours: hej lilla gumman | random: lilla gumman hej
1.00 | 0.33
ours: mannen muttrade hej | random: muttrade mannen hej
0.00 | 0.33
ours: hej sa han | random: hej han sa
1.00 | 0.00
ours: hej sa hon | random: sa hon hej
1.00 | 0.33
ours: hej jag sa | random: sa jag hej
0.00 | 0.33
ours: hej sa mirran | random: hej sa mirran
1.00 | 1.00
ours: hej sa myran | random: hej myran sa
1.00 | 0.00
ours: hej sa percy | random: sa percy hej
1.00 | 0.33
