ours: NUMBER joel hej | random: hej joel NUMBER
1.00 | 0.33
ours: kyligt glimmar de | random: de glimmar kyligt
0.00 | 1.00
ours: de hade fel | random: de fel hade
1.00 | 0.33
ours: de hade vunnit | random: de vunnit hade
1.00 | 0.33
ours: de kallades atp | random: atp kallades de
1.00 | 0.00
ours: de kallades brobyggarna | random: de kallades brobyggarna
1.00 | 1.00
ours: de kallas arbetslivsmuseer | random: arbetslivsmuseer de kallas
1.00 | 0.33
ours: de ligger sist | random: de sist ligger
1.00 | 0.00
ours: de pratar tyst | random: tyst pratar de
1.00 | 0.00
ours: de ska samarbeta | random: ska de samarbeta
1.00 | 0.00
ours: de blickar utbytte | random: de utbytte blickar
0.00 | 1.00
ours: de var apatiska | random: de var apatiska
1.00 | 1.00
ours: de var dammiga | random: dammiga de var
1.00 | 0.33
ours: de verkade blyga | random: verkade blyga de
1.00 | 0.33
ours: folkstyre betyder demokrati | random: demokrati betyder folkstyre
0.00 | 1.00
ours: den fick pris | random: pris fick den
1.00 | 0.00
ours: den heter djurskyddsmyndigheten | random: den heter djurskyddsmyndigheten
1.00 | 1.00
ours: den heter krav | random: den krav heter
1.00 | 0.00
ours: den hette pretto | random: pretto hette den
1.00 | 0.00
ours: tessa den luktar | random: luktar tessa den
0.33 | 0.33
ours: sitter den fast | random: sitter fast den
0.00 | 0.33
ours: ljuvligt den smakade | random: den smakade ljuvligt
0.33 | 1.00
ours: den var med | random: med den var
1.00 | 0.33
ours: den var tokgod | random: den tokgod var
1.00 | 0.00
ours: myndigheterna styr departementen | random: styr myndigheterna departementen
0.00 | 0.33
ours: det avgjorde matchen | random: avgjorde matchen det
1.00 | 0.33
ours: det avgjorde saken | random: saken avgjorde det
1.00 | 0.00
ours: ja det betydde | random: det betydde ja
0.33 | 1.00
ours: det betydde victory | random: det betydde victory
1.00 | 1.00
ours: det betyder ju | random: betyder det ju
1.00 | 0.00
ours: blev det krig | random: krig det blev
0.00 | 0.33
ours: det blir skitkul | random: det blir skitkul
1.00 | 1.00
ours: blixtrar det igen | random: det blixtrar igen
0.00 | 1.00
ours: det doftar sommar | random: doftar sommar det
1.00 | 0.33
ours: jag fattar det | random: det jag fattar
0.00 | 0.00
ours: finns det kritiker | random: finns det kritiker
0.00 | 0.00
ours: det fixar sej | random: sej det fixar
1.00 | 0.33
ours: funkar det inte | random: det inte funkar
0.00 | 0.00
ours: gick det inte | random: det gick inte
0.00 | 1.00
ours: det gjorde det | random: det gjorde det
1.00 | 1.00
ours: det gjorde dom | random: det dom gjorde
1.00 | 0.00
ours: det gjorde ingenting | random: ingenting gjorde det
1.00 | 0.00
ours: det gjorde jag | random: det jag gjorde
1.00 | 0.00
ours: det gjorde ont | random: gjorde ont det
1.00 | 0.33
ours: det gjorde susen | random: susen det gjorde
1.00 | 0.33
ours: det gjorde vi | random: gjorde vi det
1.00 | 0.33
ours: det hade det | random: det det hade
1.00 | 0.33
ours: jag hade det | random: det hade jag
0.00 | 1.00
ours: kunskapsporten heter det | random: det heter kunskapsporten
0.00 | 1.00
ours: det irriterar mig | random: mig det irriterar
1.00 | 0.33
ours: det kallas bristyrkesutbildning | random: det bristyrkesutbildning kallas
1.00 | 0.00
ours: det kallas cellfusion | random: det kallas cellfusion
1.00 | 1.00
ours: det kallas ekologiskt | random: det ekologiskt kallas
1.00 | 0.00
ours: det kallas familjehem | random: kallas det familjehem
1.00 | 0.00
ours: det kallas inkasso | random: det kallas inkasso
1.00 | 1.00
ours: det kallas kartellsamarbete | random: det kallas kartellsamarbete
1.00 | 1.00
ours: det kallas massflykt | random: det kallas massflykt
1.00 | 1.00
ours: det kallas merkostnader | random: kallas det merkostnader
1.00 | 0.00
ours: det kallas narkotikahandel | random: narkotikahandel det kallas
1.00 | 0.33
ours: det kallas partnerskap | random: partnerskap det kallas
1.00 | 0.33
ours: det kallas protokoll | random: kallas protokoll det
1.00 | 0.33
ours: det kallas sponsring | random: det kallas sponsring
1.00 | 1.00
ours: det kallas typsnitt | random: det typsnitt kallas
1.00 | 0.00
ours: det kan vi | random: vi det kan
1.00 | 0.33
ours: det kommer mer | random: kommer mer det
1.00 | 0.33
ours: ingen kunde det | random: kunde det ingen
0.00 | 0.00
ours: det lovar jag | random: lovar det jag
1.00 | 0.00
ours: regeringen lovar det | random: det regeringen lovar
0.00 | 0.00
ours: det luktar liljekonvaljparfym | random: liljekonvaljparfym luktar det
1.00 | 0.00
ours: det lyckades inte | random: inte det lyckades
1.00 | 0.33
ours: det ordnar sig | random: ordnar det sig
1.00 | 0.00
ours: regnar det ju | random: det ju regnar
0.00 | 0.00
ours: ropar han det | random: han ropar det
0.33 | 0.00
ours: det slutar regna | random: regna det slutar
1.00 | 0.33
ours: steg det fortfarande | random: steg det fortfarande
0.00 | 0.00
ours: det tycker experterna | random: experterna det tycker
1.00 | 0.33
ours: det tycker regeingen | random: tycker det regeingen
1.00 | 0.00
ours: det var NUMBER | random: NUMBER det var
1.00 | 0.33
ours: det var allt | random: allt var det
1.00 | 0.00
ours: anne var det | random: det var anne
0.00 | 1.00
ours: det var badbyxorna | random: var det badbyxorna
1.00 | 0.00
ours: det var conny | random: conny var det
1.00 | 0.00
ours: det var danskan | random: det var danskan
1.00 | 1.00
ours: det var de | random: det de var
1.00 | 0.00
ours: det var dom | random: det dom var
1.00 | 0.00
ours: erik var det | random: det erik var
0.00 | 0.00
ours: det var finrummet | random: det finrummet var
1.00 | 0.00
ours: det var hemskt | random: var det hemskt
1.00 | 0.00
ours: det var ingenting | random: ingenting det var
1.00 | 0.33
ours: det var jakes | random: jakes det var
1.00 | 0.33
ours: det var jobbigt | random: jobbigt var det
1.00 | 0.00
ours: var det katastrof | random: var det katastrof
0.00 | 0.00
ours: det var konstigt | random: det var konstigt
1.00 | 1.00
ours: det var korkat | random: var det korkat
1.00 | 0.00
ours: det var manuel | random: var det manuel
1.00 | 0.00
ours: var det maria | random: det maria var
0.00 | 0.00
ours: det var moa | random: moa var det
1.00 | 0.00
ours: det var molnigt | random: molnigt var det
1.00 | 0.00
ours: det var ovanligt | random: var ovanligt det
1.00 | 0.33
ours: det var ricke | random: ricke det var
1.00 | 0.33
ours: var det riskabelt | random: var det riskabelt
0.00 | 0.00
ours: det var sanning | random: var det sanning
1.00 | 0.00
ours: det var sant | random: var det sant
1.00 | 0.00
ours: sara var det | random: var sara det
0.00 | 0.33
ours: det var skitjobbigt | random: det var skitjobbigt
1.00 | 1.00
ours: det var slut | random: slut det var
1.00 | 0.33
ours: det var sommarlov | random: var det sommarlov
1.00 | 0.00
ours: det var synd | random: synd var det
1.00 | 0.00
ours: det var taskigt | random: det var taskigt
1.00 | 1.00
ours: det var underbart | random: det underbart var
1.00 | 0.00
ours: var det verklighet | random: verklighet det var
0.00 | 0.33
ours: verkar det enkelt | random: verkar det enkelt
0.00 | 0.00
ours: det verkar smittsamt | random: smittsamt det verkar
1.00 | 0.33
ours: det vet alla | random: alla vet det
1.00 | 0.00
ours: det vet inez | random: det vet inez
1.00 | 1.00
ours: det vet ingen | random: ingen det vet
1.00 | 0.33
ours: jag vet det | random: det vet jag
0.00 | 1.00
ours: det de vill | random: de det vill
0.00 | 0.33
ours: det vill inez | random: det vill inez
1.00 | 1.00
ours: det visste jag | random: visste det jag
1.00 | 0.00
ours: det visste mormor | random: mormor visste det
1.00 | 0.00
ours: det vore fint | random: fint vore det
1.00 | 0.00
ours: det vore kul | random: kul vore det
1.00 | 0.00
ours: det vore skoj | random: skoj det vore
1.00 | 0.33
ours: detsamma sa han | random: sa detsamma han
1.00 | 0.00
ours: detta gav mersmak | random: gav detta mersmak
1.00 | 0.00
ours: placeboeffekten kallas detta | random: detta kallas placeboeffekten
0.00 | 1.00
ours: dikten finns kvar | random: dikten finns kvar
1.00 | 1.00
ours: leksaker gamla dina | random: dina gamla leksaker
0.00 | 1.00
ours: ditt stora intresse | random: intresse ditt stora
1.00 | 0.33
ours: honom kysste ditte | random: kysste honom ditte
0.00 | 0.33
ours: och jag ditte | random: och jag ditte
0.33 | 0.33
ours: sepp och ditte | random: ditte sepp och
0.00 | 0.00
ours: ditte sa ingenting | random: ingenting ditte sa
1.00 | 0.33
ours: ditte var tillbaka | random: tillbaka ditte var
1.00 | 0.33
ours: felix viskade ditte | random: ditte felix viskade
0.00 | 0.00
ours: godast blir dom | random: godast dom blir
0.00 | 0.33
ours: dom fattar ingenting | random: dom fattar ingenting
1.00 | 1.00
ours: dom klarade det | random: dom det klarade
1.00 | 0.00
ours: dom klarar sej | random: dom sej klarar
1.00 | 0.00
ours: fisk luktade dom | random: luktade fisk dom
0.00 | 0.33
ours: hand skakade dom | random: hand dom skakade
0.00 | 0.33
ours: dom tar honom | random: dom honom tar
1.00 | 0.00
ours: domstolen har misslyckats | random: misslyckats har domstolen
1.00 | 0.00
ours: meter sjutton drygt | random: drygt sjutton meter
0.00 | 1.00
ours: du fick syrebrist | random: du syrebrist fick
1.00 | 0.00
ours: du har mig | random: mig har du
1.00 | 0.00
ours: har du napp | random: har napp du
0.00 | 0.33
ours: klarar du det | random: klarar det du
0.00 | 0.33
ours: du rider ju | random: rider ju du
1.00 | 0.33
ours: han sa du | random: du sa han
0.00 | 1.00
ours: mmm tess du | random: du tess mmm
0.00 | 1.00
ours: vet du ingenting | random: du ingenting vet
0.00 | 0.00
ours: dubbelgrindarna lyser vita | random: dubbelgrindarna lyser vita
1.00 | 1.00
ours: jag fnissar dummer | random: dummer jag fnissar
0.00 | 0.00
ours: rycker till ebba | random: rycker till ebba
0.33 | 0.33
ours: jag och elin | random: elin jag och
0.00 | 0.00
ours: din eller pappa | random: pappa din eller
0.00 | 0.00
ours: erik eller hur | random: erik hur eller
0.33 | 0.00
ours: frida eller hur | random: frida hur eller
0.33 | 0.00
ours: kajsa eller hur | random: eller kajsa hur
0.33 | 0.00
ours: love eller hur | random: hur love eller
0.33 | 0.33
ours: mormor eller hur | random: mormor eller hur
0.33 | 0.33
ours: ponny eller hur | random: eller ponny hur
0.33 | 0.00
ours: eller i kvarnen | random: kvarnen eller i
1.00 | 0.33
ours: eller kanske atletico | random: atletico eller kanske
1.00 | 0.33
ours: foten ser emil | random: foten emil ser
0.00 | 0.33
ours: en alldeles egen | random: en egen alldeles
1.00 | 0.00
ours: en annan dag | random: annan en dag
1.00 | 0.00
ours: en blev kvar | random: en kvar blev
1.00 | 0.00
ours: kuttrade duva en | random: en kuttrade duva
0.00 | 0.00
ours: en egen ponny | random: en ponny egen
1.00 | 0.33
ours: en extra filt | random: filt en extra
1.00 | 0.33
ours: en fantastisk personlighet | random: en personlighet fantastisk
1.00 | 0.00
ours: fick en mamma | random: en mamma fick
0.00 | 0.00
ours: gnisslar en grind | random: grind gnisslar en
0.33 | 0.33
ours: en halv tusenlapp | random: en tusenlapp halv
1.00 | 0.00
ours: en halvtimme kvar | random: en kvar halvtimme
1.00 | 0.00
ours: en internationell liga | random: liga en internationell
1.00 | 0.33
ours: pep en mes | random: mes en pep
0.33 | 0.00
ours: en riktig egotrip | random: riktig egotrip en
1.00 | 0.33
ours: en riktig skatt | random: skatt en riktig
1.00 | 0.33
ours: en riktig trollerimorfar | random: trollerimorfar riktig en
1.00 | 0.00
ours: en sak till | random: sak en till
1.00 | 0.00
ours: gick en sekund | random: gick sekund en
0.33 | 0.00
ours: till en signal | random: signal till en
0.33 | 0.33
ours: en stor skandal | random: en skandal stor
1.00 | 0.00
ours: en telefon ringer | random: telefon en ringer
1.00 | 0.00
ours: en typisk kajsaplan | random: typisk kajsaplan en
1.00 | 0.33
ours: vacker en sten | random: vacker sten en
0.00 | 0.33
ours: en vit smoking | random: vit smoking en
1.00 | 0.33
ours: ensam i natten | random: i ensam natten
1.00 | 0.00
ours: sa jag ensam | random: ensam jag sa
0.33 | 0.00
ours: vid ensam gravarna | random: ensam gravarna vid
0.00 | 0.00
ours: jag sa envis | random: envis sa jag
0.00 | 1.00
ours: bara erik log | random: bara log erik
0.00 | 0.33
ours: ihop bet erik | random: bet erik ihop
0.00 | 0.00
ours: bara erik nickade | random: erik bara nickade
0.33 | 0.00
ours: igen nickade erik | random: erik igen nickade
0.00 | 0.00
ours: tveksamt nickade erik | random: nickade tveksamt erik
0.00 | 0.33
ours: erik sa inget | random: inget sa erik
1.00 | 0.00
ours: till stelnade erik | random: stelnade till erik
0.00 | 0.33
ours: tittade upp erik | random: erik tittade upp
0.33 | 1.00
ours: erik tog den | random: den erik tog
1.00 | 0.33
ours: erik vaknade tidigt | random: tidigt vaknade erik
1.00 | 0.00
ours: log pappa eriks | random: pappa log eriks
0.00 | 0.33
ours: ett bra resultat | random: resultat bra ett
1.00 | 0.00
ours: fint ett namn | random: ett fint namn
0.00 | 1.00
ours: ett gammalt russ | random: gammalt russ ett
1.00 | 0.33
ours: hopknycklat ett papper | random: hopknycklat papper ett
0.00 | 0.33
ours: ett stenblock nedfallet | random: nedfallet ett stenblock
0.00 | 0.00
ours: ett riktigt kanonskott | random: riktigt kanonskott ett
1.00 | 0.33
ours: kanske ett tag | random: ett kanske tag
0.33 | 0.00
ours: everything sa han | random: everything han sa
1.00 | 0.00
ours: falukorv varje dag | random: dag falukorv varje
1.00 | 0.33
ours: det stod familjegraf | random: det familjegraf stod
0.00 | 0.33
ours: familjen i framtiden | random: familjen i framtiden
1.00 | 1.00
ours: larver hatade farfar | random: farfar hatade larver
0.00 | 1.00
ours: jag sa farmor | random: farmor jag sa
0.00 | 0.00
ours: fattar du det | random: fattar det du
1.00 | 0.00
ours: du fattar ingenting | random: fattar ingenting du
0.00 | 0.00
ours: fattar du inte | random: fattar du inte
1.00 | 1.00
ours: fattar ni inte | random: inte fattar ni
1.00 | 0.33
ours: freden hotar fattigdomen | random: fattigdomen hotar freden
0.00 | 1.00
ours: mej av fel | random: fel av mej
0.00 | 1.00
ours: lisa sa fel | random: fel sa lisa
0.00 | 1.00
ours: felix bara gapade | random: gapade felix bara
1.00 | 0.33
ours: nyfiken blir felix | random: nyfiken felix blir
0.00 | 0.33
ours: felix fattade ingenting | random: felix fattade ingenting
1.00 | 1.00
ours: skvallrar kanske felix | random: skvallrar felix kanske
0.00 | 0.33
ours: mamma ropar felix | random: felix mamma ropar
0.00 | 0.00
ours: pannan rynkade felix | random: felix pannan rynkade
0.00 | 0.00
ours: djupt suckade felix | random: djupt felix suckade
0.00 | 0.33
ours: felix suckade tungt | random: felix tungt suckade
1.00 | 0.00
ours: felix svarade inte | random: inte felix svarade
1.00 | 0.33
ours: dom fick det | random: det fick dom
0.00 | 0.33
ours: du fick stryk | random: stryk du fick
0.00 | 0.00
ours: ficklampan i handen | random: i ficklampan handen
1.00 | 0.00
ours: det sa filippa | random: det sa filippa
0.00 | 0.00
ours: filippas med pappa | random: med pappa filippas
0.00 | 0.00
ours: moa sa filmstudion | random: filmstudion sa moa
0.00 | 1.00
ours: rykte som fimpen | random: rykte fimpen som
0.00 | 0.33
ours: finalen gick snabbat | random: snabbat gick finalen
1.00 | 0.00
ours: finalmatchen hade allt | random: allt hade finalmatchen
1.00 | 0.00
ours: finansminister sedan NUMBER | random: sedan NUMBER finansminister
1.00 | 0.33
ours: flera andra skadades | random: andra flera skadades
1.00 | 0.00
ours: exploderade bilbomber flera | random: exploderade bilbomber flera
0.00 | 0.00
ours: flera hundra skadades | random: hundra skadades flera
1.00 | 0.33
ours: rep hoppar flickorna | random: flickorna rep hoppar
0.00 | 0.00
ours: runt snodde flotten | random: runt flotten snodde
0.00 | 0.33
ours: flyg nyckelpiga flyg | random: nyckelpiga flyg flyg
1.00 | 0.33
ours: fortsatte att sticka | random: att fortsatte sticka
1.00 | 0.00
ours: dansorkester blooms frederic | random: dansorkester frederic blooms
0.00 | 0.33
ours: frederic sa han | random: han sa frederic
1.00 | 0.00
ours: upp tittade frederic | random: frederic upp tittade
0.00 | 0.00
ours: ner kikade frida | random: kikade ner frida
0.00 | 0.33
ours: allvarligt nickade frida | random: nickade frida allvarligt
0.00 | 0.00
ours: frida skrek till | random: frida till skrek
1.00 | 0.00
ours: frida var rasande | random: var frida rasande
1.00 | 0.00
ours: full av funderingar | random: funderingar av full
1.00 | 0.00
ours: urtrist och fult | random: fult och urtrist
0.00 | 1.00
ours: ditte fyllde i | random: fyllde i ditte
0.00 | 0.00
ours: jag sa fyrkantigt | random: fyrkantigt sa jag
0.00 | 1.00
ours: gabrielle svarade inte | random: svarade inte gabrielle
1.00 | 0.33
ours: favoriter var galatasary | random: var galatasary favoriter
0.00 | 0.00
ours: nickade hugo galne | random: galne nickade hugo
0.00 | 0.00
ours: mormor gulliga gamla | random: gamla gulliga mormor
0.00 | 1.00
ours: ge inte dig | random: ge dig inte
0.00 | 1.00
ours: klockan gick fel | random: fel gick klockan
0.00 | 0.33
ours: gillar du henne | random: gillar du henne
1.00 | 1.00
ours: det gjorde han | random: han gjorde det
0.33 | 0.00
ours: halvfullt var glaset | random: var glaset halvfullt
0.00 | 0.00
ours: jag sa god | random: sa god jag
0.00 | 0.00
ours: gode gode gud | random: gode gud gode
1.00 | 0.33
ours: gottfrid kom in | random: gottfrid kom in
1.00 | 1.00
ours: conny sa gratulerar | random: gratulerar conny sa
0.00 | 0.00
ours: estoniakommissionen kallades gruppen | random: kallades gruppen estoniakommissionen
0.00 | 0.00
ours: mormor gamla gulliga | random: gamla mormor gulliga
0.00 | 0.33
ours: gunatt sa han | random: han sa gunatt
1.00 | 0.00
ours: vi sa gunatt | random: gunatt sa vi
0.00 | 1.00
ours: ha det kul | random: kul det ha
1.00 | 0.00
ours: erik hade ropat | random: ropat hade erik
0.00 | 0.33
ours: han hade det | random: det hade han
0.00 | 0.33
ours: han hade sagt | random: sagt han hade
0.00 | 0.00
ours: jonathan svarar hade | random: jonathan hade svarar
0.00 | 0.33
ours: tom verkade hallen | random: verkade hallen tom
0.00 | 0.00
ours: kravatter och halsdukar | random: och halsdukar kravatter
0.00 | 0.00
ours: han bara dansade | random: dansade bara han
1.00 | 0.00
ours: han blev ilsken | random: ilsken han blev
1.00 | 0.33
ours: han blev knivskuren | random: han knivskuren blev
1.00 | 0.00
ours: han borde sluta | random: han borde sluta
1.00 | 1.00
ours: han dog genast | random: han dog genast
1.00 | 1.00
ours: han fattar ingenting | random: han ingenting fattar
1.00 | 0.00
ours: fattar han inget | random: fattar inget han
0.00 | 0.33
ours: han finns ingenstans | random: ingenstans han finns
1.00 | 0.33
ours: fnissar han lite | random: han fnissar lite
0.00 | 1.00
ours: han gillar dig | random: gillar han dig
1.00 | 0.00
ours: han hade kniv | random: han kniv hade
1.00 | 0.00
ours: han hann precis | random: precis hann han
1.00 | 0.00
ours: han har fattat | random: han fattat har
1.00 | 0.00
ours: han har svindel | random: svindel har han
1.00 | 0.00
ours: han hatade paella | random: han hatade paella
1.00 | 1.00
ours: han hatade spanien | random: hatade han spanien
1.00 | 0.00
ours: han heter erik | random: erik han heter
1.00 | 0.33
ours: han heter percy | random: heter percy han
1.00 | 0.33
ours: jagar han inte | random: han inte jagar
0.00 | 0.00
ours: han klarade NUMBER | random: klarade NUMBER han
1.00 | 0.33
ours: han kom tillbaka | random: kom tillbaka han
1.00 | 0.33
ours: han kramade henne | random: henne kramade han
1.00 | 0.00
ours: han kunde inte | random: kunde inte han
1.00 | 0.33
ours: reglerna han kunde | random: han kunde reglerna
0.33 | 1.00
ours: underbart luktar han | random: underbart han luktar
0.00 | 0.33
ours: inte han lyssnade | random: han lyssnade inte
0.33 | 1.00
ours: han lyssnade tydligen | random: lyssnade tydligen han
1.00 | 0.33
ours: han bara mumlade | random: han bara mumlade
0.00 | 0.00
ours: han nickade sakta | random: nickade sakta han
1.00 | 0.33
ours: han bara nickar | random: bara nickar han
0.00 | 0.00
ours: han och jag | random: och han jag
1.00 | 0.00
ours: han orkade inte | random: inte orkade han
1.00 | 0.00
ours: han sa ingenting | random: sa han ingenting
1.00 | 0.00
ours: han sa inget | random: han inget sa
1.00 | 0.00
ours: han sa nej | random: nej han sa
1.00 | 0.33
ours: han sjunger bra | random: han sjunger bra
1.00 | 1.00
ours: han skrattar lite | random: lite skrattar han
1.00 | 0.00
ours: deckare skriver han | random: deckare skriver han
0.00 | 0.00
ours: snubblade han med | random: snubblade med han
0.00 | 0.33
ours: svikaren spinner han | random: spinner svikaren han
0.00 | 0.33
ours: han springer snabbt | random: han snabbt springer
1.00 | 0.00
ours: han startade bilen | random: bilen han startade
1.00 | 0.33
ours: han startade bra | random: startade bra han
1.00 | 0.33
ours: han svarar inte | random: svarar han inte
1.00 | 0.00
ours: han trodde fel | random: trodde han fel
1.00 | 0.00
ours: trodde han inte | random: trodde inte han
0.00 | 0.33
ours: han var galen | random: han var galen
1.00 | 1.00
ours: han var lycklig | random: var han lycklig
1.00 | 0.00
ours: han var lysande | random: lysande han var
1.00 | 0.33
ours: han var turist | random: han var turist
1.00 | 1.00
ours: han var ursinnig | random: var han ursinnig
1.00 | 0.00
ours: hans eget blod | random: hans eget blod
1.00 | 1.00
ours: och hans kajsas | random: kajsas och hans
0.00 | 0.00
ours: har du det | random: har du det
1.00 | 1.00
ours: har du popcorn | random: du popcorn har
1.00 | 0.33
ours: har du sett | random: har du sett
1.00 | 1.00
ours: du har tid | random: du har tid
0.00 | 0.00
ours: man har schett | random: schett man har
0.00 | 0.00
ours: har ni dem | random: har ni dem
1.00 | 1.00
ours: har ni korv | random: har korv ni
1.00 | 0.00
ours: ni har slagits | random: slagits ni har
0.00 | 0.00
ours: kajsa igen hej | random: igen kajsa hej
0.00 | 0.33
ours: hej lilla gumman | random: gumman lilla hej
1.00 | 0.00
ours: mannen muttrade hej | random: muttrade mannen hej
0.00 | 0.33
ours: han sa hej | random: han sa hej
0.00 | 0.00
ours: hon sa hej | random: hej hon sa
0.00 | 0.00
ours: jag sa hej | random: hej jag sa
0.00 | 0.00
ours: mirran sa hej | random: mirran hej sa
0.00 | 0.33
ours: myran sa hej | random: hej sa myran
0.00 | 1.00
ours: percy sa hej | random: hej percy sa
0.00 | 0.00
